Class,Precision,Recall,F1-Score
AHMET ÇAKAR,0.9356643356643357,1.0,0.9643892339544513
ALİ SİRMEN,0.96,0.78,0.852483660130719
ATAOL BEHRAMOĞLU,1.0,0.9199999999999999,0.9567251461988304
ATİLLA DORSAY,0.9666666666666666,1.0,0.9818181818181818
AYKAN SEVER,1.0,0.9,0.9450292397660818
AZİZ ÜSTEL,0.8972222222222221,0.6799999999999999,0.770407636738906
CAN ATAKLI,0.9818181818181818,1.0,0.9904761904761905
DENİZ GÖKÇE,1.0,0.9800000000000001,0.9894736842105264
EMRE KONGAR,0.9532467532467532,0.8800000000000001,0.9094304388422035
GÖZDE BEDELOĞLU,0.8281274281274282,0.9,0.8599324397951399
HASAN PULUR,0.9054545454545455,0.86,0.8796324143692564
HİKMET ÇETİNKAYA,0.8687645687645688,0.9800000000000001,0.9192923019009974
MEHMET ALİ BİRAND,1.0,1.0,1.0
MEHMET DEMİRKOL,0.9666666666666666,0.9,0.9254714325921756
MELTEM GÜRLE,0.9818181818181818,1.0,0.9904761904761905
MERYEM KORAY,1.0,0.9800000000000001,0.9894736842105264
MÜMTAZ SOYSAL,0.9636363636363636,0.9800000000000001,0.9704260651629072
NAZAN BEKİROĞLU,0.9636363636363636,0.9800000000000001,0.9704260651629072
NAZIM ALPMAN,0.9618181818181817,0.8800000000000001,0.9099498746867167
NEDİM HAZAR,1.0,0.8800000000000001,0.9345029239766081
NEŞE YAŞIN,0.9303030303030303,1.0,0.9627705627705627
OKAY KARACAN,0.909090909090909,0.96,0.9333333333333332
REHA MUHTAR,1.0,1.0,1.0
RIDVAN DİLMEN,0.7664335664335664,0.96,0.8513457556935817
RUHAT MENGİ,0.9303030303030303,1.0,0.9627705627705627
SELİM İLERİ,0.9174825174825175,1.0,0.9548654244306418
TARHAN ERDEM,0.9636363636363636,0.96,0.9609022556390977
UFUK BOZKIR,0.9103030303030304,0.9800000000000001,0.9427705627705627
YAŞAR SEYMAN,0.9800000000000001,0.9199999999999999,0.9484210526315788
ÖZGE BAŞAK TANELİ,0.96,0.9400000000000001,0.9494736842105264
Average,0.9467364302364304,0.9400000000000002,0.939215666623999
